Total.Household.Income,Region,Total.Food.Expenditure,Household.Head.Sex,Household.Head.Age,Type.of.Household,Total.Number.of.Family.members,House.Floor.Area,House.Age,Number.of.bedrooms,Electricity
174399,X - Northern Mindanao,64241,Male,32,Single Family,5,48,6,3,1
989017,X - Northern Mindanao,122960,Male,50,Single Family,6,50,18,2,1
71371,X - Northern Mindanao,25524,Female,43,Single Family,1,30,21,1,0
96139,X - Northern Mindanao,33763,Male,27,Single Family,4,30,21,2,1
143326,X - Northern Mindanao,55805,Female,61,Single Family,5,60,47,2,0
121953,X - Northern Mindanao,47962,Male,61,Single Family,3,20,19,1,1
311346,X - Northern Mindanao,88124,Male,43,Single Family,5,40,12,3,1
192795,X - Northern Mindanao,85527,Male,59,Extended Family,10,40,15,2,0
154697,X - Northern Mindanao,49040,Male,68,Single Family,4,40,18,2,1
101828,X - Northern Mindanao,47672,Male,34,Single Family,4,40,17,1,1
62520,X - Northern Mindanao,34142,Male,40,Single Family,3,36,12,1,1
83488,X - Northern Mindanao,38988,Male,50,Single Family,4,68,11,2,1
93635,X - Northern Mindanao,39000,Male,57,Single Family,4,60,25,2,1
110188,X - Northern Mindanao,59224,Male,34,Single Family,6,45,13,2,0
177101,X - Northern Mindanao,75312,Male,45,Single Family,6,51,10,1,1
47525,X - Northern Mindanao,11592,Female,77,Single Family,1,40,12,2,1
247678,X - Northern Mindanao,65457,Male,30,Single Family,4,48,6,2,1
64299,X - Northern Mindanao,29765,Female,58,Single Family,3,34,8,1,1
117098,X - Northern Mindanao,61008,Male,43,Extended Family,11,20,7,2,1
69134,X - Northern Mindanao,29706,Male,40,Single Family,3,30,11,1,0
212608,X - Northern Mindanao,89181,Male,62,Extended Family,9,22,10,2,1
147463,X - Northern Mindanao,54764,Male,41,Single Family,4,45,32,2,1
261310,X - Northern Mindanao,55779,Male,41,Extended Family,7,35,7,1,1
80003,X - Northern Mindanao,37018,Male,37,Single Family,3,26,15,2,1
292994,X - Northern Mindanao,71408,Male,47,Extended Family,4,23,25,4,1
234439,X - Northern Mindanao,83707,Male,37,Single Family,5,66,15,2,1
143758,X - Northern Mindanao,32461,Male,38,Single Family,6,28,2,3,1
120779,X - Northern Mindanao,40840,Male,43,Single Family,3,20,11,1,1
102447,X - Northern Mindanao,44549,Male,60,Extended Family,4,27,31,2,1
69422,X - Northern Mindanao,28082,Male,68,Extended Family,4,12,18,0,0
71815,X - Northern Mindanao,49480,Male,58,Single Family,5,33,6,2,1
69117,X - Northern Mindanao,50483,Male,37,Single Family,5,13,9,0,0
87183,X - Northern Mindanao,36510,Male,33,Single Family,6,22,10,1,1
56935,X - Northern Mindanao,19702,Male,58,Single Family,2,50,15,1,0
480870,X - Northern Mindanao,114498,Male,38,Single Family,6,66,20,3,1
78133,X - Northern Mindanao,23728,Male,76,Extended Family,7,44,15,3,1
141652,X - Northern Mindanao,50079,Female,51,Extended Family,7,55,29,1,1
96696,X - Northern Mindanao,53466,Male,57,Single Family,5,20,15,1,1
267955,X - Northern Mindanao,56232,Male,40,Extended Family,5,31,12,2,1
59945,X - Northern Mindanao,37613,Male,53,Single Family,2,40,15,2,0
82291,X - Northern Mindanao,49177,Male,36,Single Family,5,20,15,2,1
144867,X - Northern Mindanao,56236,Male,47,Single Family,3,20,15,2,1
216370,X - Northern Mindanao,123217,Male,62,Single Family,3,27,3,2,1
79928,X - Northern Mindanao,51588,Male,52,Single Family,5,22,20,2,1
317335,X - Northern Mindanao,62937,Male,42,Single Family,3,50,7,2,1
101795,X - Northern Mindanao,37237,Female,53,Single Family,4,19,11,3,1
50973,X - Northern Mindanao,31372,Male,32,Single Family,4,50,8,1,1
72236,X - Northern Mindanao,27678,Male,34,Single Family,7,120,23,1,1
69225,X - Northern Mindanao,32170,Male,48,Single Family,3,70,15,1,1
71025,X - Northern Mindanao,36758,Male,46,Single Family,4,50,17,1,0
129249,X - Northern Mindanao,65590,Male,47,Extended Family,6,80,1,1,1
88502,X - Northern Mindanao,59807,Female,40,Single Family,2,60,2,3,1
192665,X - Northern Mindanao,61851,Male,47,Single Family,4,90,4,1,1
106735,X - Northern Mindanao,42702,Male,50,Single Family,4,100,14,2,0
63796,X - Northern Mindanao,45002,Male,68,Single Family,3,40,8,1,1
243847,X - Northern Mindanao,109900,Male,46,Single Family,9,48,35,2,1
288463,X - Northern Mindanao,84937,Male,43,Single Family,5,30,9,1,1
67791,X - Northern Mindanao,57303,Male,67,Single Family,4,72,4,1,0
76940,X - Northern Mindanao,39572,Female,52,Single Family,5,48,15,1,1
218092,X - Northern Mindanao,136879,Male,59,Extended Family,7,40,14,2,1
181268,X - Northern Mindanao,50481,Male,60,Single Family,4,72,28,3,1
80640,X - Northern Mindanao,53702,Male,41,Single Family,6,80,10,1,1
154029,X - Northern Mindanao,75148,Male,41,Single Family,9,120,9,2,1
124435,X - Northern Mindanao,61053,Male,52,Single Family,9,40,8,2,1
118921,X - Northern Mindanao,51945,Male,59,Single Family,4,30,2,1,0
86253,X - Northern Mindanao,42675,Male,41,Single Family,6,30,7,1,1
129886,X - Northern Mindanao,56866,Male,42,Single Family,7,50,15,1,1
117455,X - Northern Mindanao,82226,Male,68,Extended Family,9,30,10,1,1
27613,X - Northern Mindanao,20029,Male,74,Single Family,2,18,5,1,1
112923,X - Northern Mindanao,32930,Male,54,Extended Family,3,35,22,2,1
52075,X - Northern Mindanao,27521,Female,63,Single Family,2,30,5,1,1
83617,X - Northern Mindanao,32274,Male,40,Single Family,4,42,15,2,1
103070,X - Northern Mindanao,39232,Male,55,Single Family,5,48,18,2,1
123035,X - Northern Mindanao,52323,Male,71,Extended Family,7,30,37,2,1
904612,X - Northern Mindanao,142572,Female,76,Extended Family,5,120,24,5,1
96119,X - Northern Mindanao,54526,Male,52,Extended Family,4,30,17,2,1
117319,X - Northern Mindanao,43556,Male,66,Extended Family,7,35,15,2,1
109298,X - Northern Mindanao,46480,Male,41,Single Family,5,60,16,1,1
115970,X - Northern Mindanao,33222,Male,49,Single Family,5,80,13,3,1
32205,X - Northern Mindanao,16703,Male,72,Single Family,1,30,16,2,0
33719,X - Northern Mindanao,19019,Male,55,Single Family,2,30,34,1,1
33422,X - Northern Mindanao,21838,Male,75,Single Family,1,36,19,2,1
643555,X - Northern Mindanao,103000,Female,48,Single Family,5,90,15,3,1
94542,X - Northern Mindanao,22478,Male,62,Single Family,2,40,5,2,1
71598,X - Northern Mindanao,34836,Male,37,Single Family,6,50,12,2,1
44290,X - Northern Mindanao,25898,Female,46,Single Family,2,60,5,1,1
98774,X - Northern Mindanao,35193,Male,59,Extended Family,4,35,5,2,1
33727,X - Northern Mindanao,20128,Male,39,Single Family,2,16,12,1,0
224402,X - Northern Mindanao,93575,Male,53,Single Family,9,100,7,3,1
131345,X - Northern Mindanao,52635,Male,74,Extended Family,6,100,41,3,1
276020,X - Northern Mindanao,70489,Female,58,Single Family,6,150,34,3,1
83853,X - Northern Mindanao,31237,Male,61,Single Family,3,81,29,1,1
91213,X - Northern Mindanao,43792,Male,82,Single Family,2,70,15,3,1
80274,X - Northern Mindanao,47559,Male,59,Single Family,3,20,5,1,0
75243,X - Northern Mindanao,42250,Male,35,Single Family,7,50,38,2,1
614664,X - Northern Mindanao,88618,Male,45,Single Family,3,100,13,2,1
56351,X - Northern Mindanao,28241,Male,39,Single Family,6,25,15,1,0
122208,X - Northern Mindanao,52832,Male,26,Single Family,5,90,14,4,1
428035,X - Northern Mindanao,119569,Male,46,Single Family,5,160,17,2,1
84154,X - Northern Mindanao,36776,Male,46,Single Family,4,50,11,1,0
1118726,X - Northern Mindanao,184199,Male,45,Single Family,5,121,12,3,1
133937,X - Northern Mindanao,60113,Female,61,Extended Family,9,46,28,1,0
331930,X - Northern Mindanao,100291,Male,70,Extended Family,3,80,29,2,1
143735,X - Northern Mindanao,56434,Male,42,Single Family,4,46,32,1,1
174107,X - Northern Mindanao,71056,Male,41,Single Family,3,80,15,3,1
140500,X - Northern Mindanao,62741,Male,57,Single Family,4,24,45,2,1
72610,X - Northern Mindanao,51939,Male,54,Extended Family,4,56,10,1,1
126678,X - Northern Mindanao,61631,Male,47,Single Family,4,120,5,2,0
127312,X - Northern Mindanao,47340,Male,56,Extended Family,4,50,19,3,1
75670,X - Northern Mindanao,35812,Male,91,Single Family,3,80,52,3,1
151686,X - Northern Mindanao,59290,Male,32,Single Family,4,46,5,1,1
140162,X - Northern Mindanao,39531,Male,42,Single Family,3,45,8,1,1
42100,X - Northern Mindanao,28406,Male,54,Single Family,1,56,30,2,0
191859,X - Northern Mindanao,72961,Male,49,Single Family,5,27,17,2,1
127611,X - Northern Mindanao,48717,Male,52,Single Family,4,32,15,2,0
68281,X - Northern Mindanao,29827,Male,35,Single Family,6,45,10,1,1
79406,X - Northern Mindanao,50976,Male,22,Single Family,5,40,26,2,1
131055,X - Northern Mindanao,47582,Male,55,Extended Family,3,30,10,1,0
128871,X - Northern Mindanao,53931,Male,39,Single Family,5,80,10,2,1
124660,X - Northern Mindanao,54813,Male,49,Single Family,4,72,11,1,1
211769,X - Northern Mindanao,38899,Male,46,Single Family,8,63,7,2,1
144783,X - Northern Mindanao,80566,Male,43,Single Family,13,150,19,2,1
166312,X - Northern Mindanao,70113,Male,59,Single Family,2,63,33,3,1
110625,X - Northern Mindanao,44922,Male,36,Single Family,5,40,10,2,0
114439,X - Northern Mindanao,56485,Male,54,Single Family,8,35,29,2,1
48673,X - Northern Mindanao,28444,Male,65,Single Family,2,120,12,2,0
246284,X - Northern Mindanao,108104,Male,49,Single Family,6,120,15,2,1
190946,X - Northern Mindanao,63780,Male,37,Single Family,8,98,15,3,1
94356,X - Northern Mindanao,38320,Male,32,Single Family,4,13,10,1,1
96031,X - Northern Mindanao,46845,Male,44,Single Family,5,35,14,2,1
108733,X - Northern Mindanao,67977,Male,62,Extended Family,4,55,31,3,1
98289,X - Northern Mindanao,54239,Male,52,Single Family,6,18,16,2,1
126110,X - Northern Mindanao,41750,Female,59,Single Family,3,55,20,5,1
133905,X - Northern Mindanao,69512,Male,40,Single Family,6,40,10,2,1
103185,X - Northern Mindanao,54338,Male,55,Single Family,4,140,10,3,1
